age_group,subject,language,topic,difficulty_level,example_type,input,output,solution_steps
11–12,Foreign Language,Arabic,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'The cat is on the chair.' → Arabic,القطة على الكرسي (al-qitta ʿala al-kursi),"[""Translate 'The cat' → 'القطة'."", ""Preposition 'on' → 'على'."", ""Object 'the chair' → 'الكرسي'.""]"
11–12,Foreign Language,Italian,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'She writes a letter to her friend.' → Italian,Lei scrive una lettera alla sua amica.,"[""Subject: 'She' → 'Lei'."", ""Verb: 'writes' → 'scrive'."", ""Object phrase: 'una lettera alla sua amica'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Water' → Spanish,Agua,"[""Find Spanish equivalent of 'Water'."", ""Use correct gender: 'el agua'."", ""Output single word form: 'Agua'.""]"
11–12,Foreign Language,French,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Apple' → French,Pomme,"[""Identify fruit name 'Apple'."", ""Translate into French: 'Pomme'."", ""Note: feminine noun 'la pomme'.""]"
11–12,Foreign Language,German,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'I read a book.' → German,Ich lese ein Buch.,"[""Subject: 'I' → 'Ich'."", ""Verb: 'read' → 'lese'."", ""Object: 'ein Buch'.""]"
11–12,Foreign Language,Arabic,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'We go to the market every morning.' → Arabic,نذهب إلى السوق كل صباح (nadhhab ila al-souq kul sabah),"[""Translate 'We go' → 'نذهب'."", ""Add preposition 'إلى' (to)."", ""Object 'السوق' (the market)."", ""Time phrase 'كل صباح'.""]"
11–12,Foreign Language,Italian,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'The weather is nice today.' → Italian,Il tempo è bello oggi.,"[""Translate subject 'The weather' → 'Il tempo'."", ""Verb 'is' → 'è'."", ""Adjective 'nice' → 'bello'."", ""Add time phrase 'oggi'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'The teacher is in the classroom.' → Spanish,El profesor está en el aula.,"[""Translate 'The teacher' → 'El profesor'."", ""Use verb 'estar' for location: 'está'."", ""Add place 'en el aula'.""]"
11–12,Foreign Language,French,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'We like music.' → French,Nous aimons la musique.,"[""Subject 'We' → 'Nous'."", ""Verb 'aimer' conjugated as 'aimons'."", ""Object 'la musique'.""]"
11–12,Foreign Language,German,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'House' → German,Haus,"[""Find German noun for 'House'."", ""Translate as 'Haus'."", 'Simple noun translation, no article needed.']"
11–12,Foreign Language,Arabic,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'My father works in a hospital.' → Arabic,أبي يعمل في مستشفى (abi yaʿmal fi mustashfā),"[""Translate 'My father' → 'أبي'."", ""Verb 'works' → 'يعمل'."", ""Prepositional phrase 'في مستشفى'.""]"
11–12,Foreign Language,Italian,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Table' → Italian,Tavolo,"[""Find Italian equivalent for 'Table'."", ""Word is 'tavolo' (masculine noun)."", ""Used as 'il tavolo'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'She always helps her friends.' → Spanish,Ella siempre ayuda a sus amigos.,"[""Subject 'She' → 'Ella'."", ""Adverb 'always' → 'siempre'."", ""Verb 'helps' → 'ayuda'."", ""Add object phrase 'a sus amigos'.""]"
11–12,Foreign Language,French,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Dog' → French,Chien,"[""Identify English noun 'Dog'."", ""Translate into French: 'Chien'."", ""Note gender: masculine ('le chien').""]"
11–12,Foreign Language,German,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'The children are playing in the garden.' → German,Die Kinder spielen im Garten.,"[""Subject 'The children' → 'Die Kinder'."", ""Verb 'are playing' → 'spielen'."", ""Place 'im Garten' (in the garden).""]"
11–12,Foreign Language,Arabic,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'The sky is blue.' → Arabic,السماء زرقاء (as-samāʾ zarqāʾ),"[""Translate 'The sky' → 'السماء'."", ""Adjective 'blue' → 'زرقاء'."", ""Use nominal sentence (no 'is' in Arabic).""]"
11–12,Foreign Language,Italian,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'He is reading a newspaper.' → Italian,Lui sta leggendo un giornale.,"[""Subject 'He' → 'Lui'."", ""Form progressive: 'sta leggendo'."", ""Object: 'un giornale'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Car' → Spanish,Coche,"[""Identify the word 'Car'."", ""Translate to Spanish: 'Coche'."", ""Alternative regional word: 'auto'.""]"
11–12,Foreign Language,French,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'I am going to buy a gift for my mother.' → French,Je vais acheter un cadeau pour ma mère.,"[""Use near-future tense: 'Je vais acheter'."", ""Translate object: 'un cadeau'."", ""Add phrase: 'pour ma mère'.""]"
11–12,Foreign Language,German,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'It is raining today.' → German,Es regnet heute.,"[""Use impersonal 'Es' for 'It'."", ""Verb 'regnet' means 'is raining'."", ""Add time word 'heute'.""]"
11–12,Foreign Language,Arabic,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Tree' → Arabic,شجرة (shajara),"[""Find Arabic noun for 'Tree'."", ""Translate as 'شجرة'."", ""Add pronunciation '(shajara)'.""]"
11–12,Foreign Language,Italian,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'They are traveling to France next week.' → Italian,Stanno viaggiando in Francia la prossima settimana.,"[""Use progressive form: 'stanno viaggiando'."", ""Add destination 'in Francia'."", ""Time phrase: 'la prossima settimana'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'The book is on the table.' → Spanish,El libro está sobre la mesa.,"[""Translate subject 'The book' → 'El libro'."", ""Use verb 'estar' for position."", ""Add 'sobre la mesa'.""]"
11–12,Foreign Language,French,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'My sister loves chocolate.' → French,Ma sœur aime le chocolat.,"[""Subject 'My sister' → 'Ma sœur'."", ""Verb 'loves' → 'aime'."", ""Object 'le chocolat'.""]"
11–12,Foreign Language,German,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'My parents are cooking dinner now.' → German,Meine Eltern kochen jetzt das Abendessen.,"[""Subject 'My parents' → 'Meine Eltern'."", ""Verb 'are cooking' → 'kochen'."", ""Time word 'jetzt'."", ""Object: 'das Abendessen'.""]"
11–12,Foreign Language,Arabic,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'She studies English every evening.' → Arabic,هي تدرس الإنجليزية كل مساء (hiya tadrus al-inglīziyya kulla masāʾ),"[""Subject 'She' → 'هي'."", ""Verb 'studies' → 'تدرس'."", ""Add object 'الإنجليزية'."", ""Time phrase 'كل مساء'.""]"
11–12,Foreign Language,Italian,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Window' → Italian,Finestra,"[""Find Italian word for 'Window'."", ""Translate as 'Finestra'."", ""Used as 'la finestra'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Chair' → Spanish,Silla,"[""Identify the object 'Chair'."", ""Translate to Spanish: 'Silla'."", ""Note: feminine noun ('la silla').""]"
11–12,Foreign Language,French,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Book' → French,Livre,"[""Find the French word for 'Book'."", ""Translate as 'Livre'."", ""Masculine noun: 'le livre'.""]"
11–12,Foreign Language,German,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'The sun is shining.' → German,Die Sonne scheint.,"[""Subject 'The sun' → 'Die Sonne'."", ""Verb 'is shining' → 'scheint'."", ""Form full sentence: 'Die Sonne scheint.'""]"
11–12,Foreign Language,Arabic,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'The bird is flying.' → Arabic,الطائر يطير (aṭ-ṭāʾir yaṭīr),"[""Translate 'The bird' → 'الطائر'."", ""Verb 'is flying' → 'يطير'."", ""No verb 'is' needed in Arabic.""]"
11–12,Foreign Language,Italian,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'I am learning Italian at school.' → Italian,Sto imparando l'italiano a scuola.,"[""Use progressive form: 'Sto imparando'."", ""Add object: 'l'italiano'."", ""Add place: 'a scuola'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'Where is the bathroom?' → Spanish,¿Dónde está el baño?,"[""Question word 'Where' → '¿Dónde?'."", ""Use 'está' for location."", ""Add noun: 'el baño'.""]"
11–12,Foreign Language,French,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'They are watching a movie together.' → French,Ils regardent un film ensemble.,"[""Subject 'They' → 'Ils'."", ""Verb 'are watching' → 'regardent'."", ""Object: 'un film', adverb: 'ensemble'.""]"
11–12,Foreign Language,German,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Cat' → German,Katze,"[""Find German noun for 'Cat'."", ""Translate as 'Katze'."", ""Feminine noun: 'die Katze'.""]"
11–12,Foreign Language,Arabic,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'My mother is cooking dinner in the kitchen.' → Arabic,أمي تطبخ العشاء في المطبخ (ummī taṭbukh al-ʿashāʾ fī al-maṭbakh),"[""Subject 'My mother' → 'أمي'."", ""Verb 'is cooking' → 'تطبخ'."", ""Object 'العشاء', place 'في المطبخ'.""]"
11–12,Foreign Language,Italian,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'What time is it?' → Italian,Che ora è?,"[""Question word 'What' → 'Che'."", ""Phrase for time: 'Che ora è?'."", ""Literally 'What hour is it?'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'The students are reading their books.' → Spanish,Los estudiantes están leyendo sus libros.,"[""Subject 'The students' → 'Los estudiantes'."", ""Use present continuous: 'están leyendo'."", ""Object phrase: 'sus libros'.""]"
11–12,Foreign Language,French,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'It is very cold today.' → French,Il fait très froid aujourd'hui.,"[""Use expression 'Il fait froid' for weather."", ""Add adverb 'très' for intensity."", ""Add time phrase 'aujourd'hui'.""]"
11–12,Foreign Language,German,Simple translation exercises (from and to native language),hard,sentence_translation,Translate: 'She visits her grandparents on weekends.' → German,Sie besucht ihre Großeltern am Wochenende.,"[""Subject 'She' → 'Sie'."", ""Verb 'visits' → 'besucht'."", ""Time phrase: 'am Wochenende'.""]"
11–12,Foreign Language,Arabic,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Flower' → Arabic,زهرة (zahra),"[""Find Arabic noun for 'Flower'."", ""Translate as 'زهرة'."", ""Add pronunciation '(zahra)'.""]"
11–12,Foreign Language,Italian,Simple translation exercises (from and to native language),easy,word_translation,Translate: 'Bread' → Italian,Pane,"[""Identify the food 'Bread'."", ""Translate to Italian: 'Pane'."", ""Masculine noun: 'il pane'.""]"
11–12,Foreign Language,Spanish,Simple translation exercises (from and to native language),medium,sentence_translation,Translate: 'He drinks a glass of milk.' → Spanish,Él bebe un vaso de leche.,"[""Subject 'He' → 'Él'."", ""Verb 'drinks' → 'bebe'."", ""Object: 'un vaso de leche'.""]"
